datetime,open,high,low,close,log_ret_1h,vol_realized,symbol
2025-09-10 21:00:00+00:00,113599.72647954,113599.72647954,113599.72647954,113599.72647954,,,BTC
2025-09-10 21:00:00+00:00,652.3962578000001,652.3962578000001,652.3962578000001,652.3962578000001,,,SPX
2025-09-10 22:00:00+00:00,113866.93758905001,113866.93758905001,113866.93758905001,113866.93758905001,0.00234945400478459,,BTC
2025-09-10 22:00:00+00:00,652.44682541,652.44682541,652.44682541,652.44682541,7.750757263647046e-05,,SPX
2025-09-10 23:00:00+00:00,113902.55396187,113902.55396187,113902.55396187,113902.55396187,0.00031274050679819254,,BTC
2025-09-10 23:00:00+00:00,653.0037694,653.0037694,653.0037694,653.0037694,0.0008532594431445162,,SPX
2025-09-11 00:00:00+00:00,652.76440519,652.76440519,652.76440519,652.76440519,-0.0003666258947632173,,SPX
2025-09-11 00:00:00+00:00,113982.92668321,113982.92668321,113982.92668321,113982.92668321,0.000705378196496298,,BTC
2025-09-11 01:00:00+00:00,113908.44370011,113908.44370011,113908.44370011,113908.44370011,-0.0006536709628530701,,BTC
2025-09-11 01:00:00+00:00,652.94292519,652.94292519,652.94292519,652.94292519,0.00027344565961850975,,SPX
2025-09-11 02:00:00+00:00,653.00993063,653.00993063,653.00993063,653.00993063,0.000102615404163231,,SPX
2025-09-11 02:00:00+00:00,113928.20665808,113928.20665808,113928.20665808,113928.20665808,0.00017348357244983958,,BTC
2025-09-11 03:00:00+00:00,652.93505793,652.93505793,652.93505793,652.93505793,-0.00011466440123886201,,SPX
2025-09-11 03:00:00+00:00,113847.02500000001,113847.02500000001,113847.02500000001,113847.02500000001,-0.0007128225569257296,,BTC
2025-09-11 04:00:00+00:00,653.04139476,653.04139476,653.04139476,653.04139476,0.00016284647401665353,,SPX
2025-09-11 04:00:00+00:00,114429.51844787,114429.51844787,114429.51844787,114429.51844787,0.005103412758193926,,BTC
2025-09-11 05:00:00+00:00,114179.53364407,114179.53364407,114179.53364407,114179.53364407,-0.0021870079172483514,,BTC
2025-09-11 05:00:00+00:00,652.67292979,652.67292979,652.67292979,652.67292979,-0.0005643883548680506,,SPX
2025-09-11 06:00:00+00:00,652.82627757,652.82627757,652.82627757,652.82627757,0.00023492588864204578,,SPX
2025-09-11 06:00:00+00:00,114294.42575190001,114294.42575190001,114294.42575190001,114294.42575190001,0.0010057349014154227,,BTC
2025-09-11 07:00:00+00:00,652.78256967,652.78256967,652.78256967,652.78256967,-6.695404999579324e-05,,SPX
2025-09-11 07:00:00+00:00,114349.1695145,114349.1695145,114349.1695145,114349.1695145,0.00047885674280401247,,BTC
2025-09-11 08:00:00+00:00,114112.60415502,114112.60415502,114112.60415502,114112.60415502,-0.002070941148961225,,BTC
2025-09-11 08:00:00+00:00,652.91948666,652.91948666,652.91948666,652.91948666,0.00020972164336896526,,SPX
2025-09-11 09:00:00+00:00,653.27370624,653.27370624,653.27370624,653.27370624,0.0005423693686488207,,SPX
2025-09-11 09:00:00+00:00,114075.38867992,114075.38867992,114075.38867992,114075.38867992,-0.0003261825915341632,,BTC
2025-09-11 10:00:00+00:00,113917.94751503,113917.94751503,113917.94751503,113917.94751503,-0.0013811034352446683,,BTC
2025-09-11 10:00:00+00:00,653.2659126,653.2659126,653.2659126,653.2659126,-1.1930200796150814e-05,,SPX
2025-09-11 11:00:00+00:00,114094.57031394,114094.57031394,114094.57031394,114094.57031394,0.001549238049895152,,BTC
2025-09-11 11:00:00+00:00,653.66297568,653.66297568,653.66297568,653.66297568,0.0006076276923367985,,SPX
2025-09-11 12:00:00+00:00,653.92018952,653.92018952,653.92018952,653.92018952,0.00039341871349041213,,SPX
2025-09-11 12:00:00+00:00,114040.58131142,114040.58131142,114040.58131142,114040.58131142,-0.0004733071878071371,,BTC
2025-09-11 13:00:00+00:00,114001.22085710001,114001.22085710001,114001.22085710001,114001.22085710001,-0.00034520385592884395,,BTC
2025-09-11 13:00:00+00:00,654.18161442,654.18161442,654.18161442,654.18161442,0.00039970115887477675,,SPX
2025-09-11 14:00:00+00:00,4.0158372,4.0158372,4.0158372,4.0158372,,,US10Y
2025-09-11 14:00:00+00:00,655.6527074,655.6527074,655.6527074,655.6527074,0.002246228510021986,,SPX
2025-09-11 14:00:00+00:00,114648.5,114648.5,114648.5,114648.5,0.005661768311377102,,BTC
2025-09-11 15:00:00+00:00,656.77545005,656.77545005,656.77545005,656.77545005,0.0017109400122388152,,SPX
2025-09-11 15:00:00+00:00,114492.60284845,114492.60284845,114492.60284845,114492.60284845,-0.0013607089576339604,,BTC
2025-09-11 15:00:00+00:00,4.0065,4.0065,4.0065,4.0065,-0.002327801483153369,,US10Y
2025-09-11 16:00:00+00:00,4.01387124,4.01387124,4.01387124,4.01387124,0.0018381298957046432,,US10Y
2025-09-11 16:00:00+00:00,657.47945999,657.47945999,657.47945999,657.47945999,0.001071344686573994,,SPX
2025-09-11 16:00:00+00:00,114210.0,114210.0,114210.0,114210.0,-0.002471357901185911,,BTC
2025-09-11 17:00:00+00:00,4.00503754,4.00503754,4.00503754,4.00503754,-0.002203218371903626,,US10Y
2025-09-11 17:00:00+00:00,657.44753454,657.44753454,657.44753454,657.44753454,-4.855851334628625e-05,,SPX
2025-09-11 17:00:00+00:00,114514.00751504001,114514.00751504001,114514.00751504001,114514.00751504001,0.0026582928251883686,,BTC
2025-09-11 18:00:00+00:00,4.01802347,4.01802347,4.01802347,4.01802347,0.0032371538304281078,,US10Y
2025-09-11 18:00:00+00:00,657.7414705900001,657.7414705900001,657.7414705900001,657.7414705900001,0.0004469867885870116,,SPX
2025-09-11 18:00:00+00:00,114621.75,114621.75,114621.75,114621.75,0.0009404249608984117,,BTC
2025-09-11 19:00:00+00:00,4.01492911,4.01492911,4.01492911,4.01492911,-0.0007704166362831888,,US10Y
2025-09-11 19:00:00+00:00,657.7759259100001,657.7759259100001,657.7759259100001,657.7759259100001,5.238291808229434e-05,,SPX
2025-09-11 19:00:00+00:00,114339.07588631,114339.07588631,114339.07588631,114339.07588631,-0.002469193201202202,,BTC
2025-09-11 20:00:00+00:00,4.01925586,4.01925586,4.01925586,4.01925586,0.001077085089389973,,US10Y
2025-09-11 20:00:00+00:00,657.96434401,657.96434401,657.96434401,657.96434401,0.0002864062240783838,,SPX
2025-09-11 20:00:00+00:00,114450.36774529,114450.36774529,114450.36774529,114450.36774529,0.0009728758983928998,,BTC
2025-09-11 21:00:00+00:00,657.64230128,657.64230128,657.64230128,657.64230128,-0.0004895729853382491,0.0006382123608571107,SPX
2025-09-11 21:00:00+00:00,114429.88604124,114429.88604124,114429.88604124,114429.88604124,-0.00017897309851555576,0.002095829376360575,BTC
2025-09-11 21:00:00+00:00,4.01925586,4.01925586,4.01925586,4.01925586,0.0,,US10Y
2025-09-11 22:00:00+00:00,658.06384918,658.06384918,658.06384918,658.06384918,0.0006407934085848055,0.000638738082579646,SPX
2025-09-11 22:00:00+00:00,114516.16758623,114516.16758623,114516.16758623,114516.16758623,0.0007537282054670413,0.0020529705306171985,BTC
2025-09-11 22:00:00+00:00,4.01925586,4.01925586,4.01925586,4.01925586,0.0,,US10Y
2025-09-11 23:00:00+00:00,4.01925586,4.01925586,4.01925586,4.01925586,0.0,,US10Y
2025-09-11 23:00:00+00:00,658.0426928200001,658.0426928200001,658.0426928200001,658.0426928200001,-3.214991997424477e-05,0.0006343947525476571,SPX
